PokedexNumber,Name,PrimaryType,SecondaryType,HP,Attack,Defense,SpecialAttack,SpecialDefense,Speed,HighestStat,HighestStatValue,EvolutionStage,Color,Height,Weight,DexEntry,Generation
281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,Special Attack,65,2,White,8,202,It is said that a KIRLIA that is exposed to the positive emotions of its TRAINER grows beautiful. This POKéMON controls psychokinetic powers with its highly developed brain.,3
282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,Special Attack,125,3,White,16,484,It unleashes psychokinetic energy at full power when protecting a Trainer it has bonded closely with.,3
283,Surskit,Bug,Water,40,30,32,50,52,65,Speed,65,1,Blue,5,17,"From the tips of its feet, SURSKIT secretes an oil that enables it to walk on water as if it were skating. This POKéMON feeds on microscopic organisms in ponds and lakes.",3
284,Masquerain,Bug,Flying,70,60,62,100,82,80,Special Attack,100,2,Blue,8,36,MASQUERAIN intimidates enemies with the eyelike patterns on its antennas. This POKéMON flaps its four wings to freely fly in any direction - even sideways and backwards - as if it were a helicopter.,3
285,Shroomish,Grass,None,60,40,60,40,60,35,Hp,60,1,Brown,4,45,"SHROOMISH live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This POKéMON feeds on compost that is made up of fallen, rotted leaves.",3
286,Breloom,Grass,Fighting,60,130,80,60,60,70,Attack,130,2,Green,12,392,"BRELOOM closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This POKéMON’s fighting technique puts boxers to shame.",3
287,Slakoth,Normal,None,60,60,60,35,35,30,Hp,60,1,Brown,8,240,"SLAKOTH lolls around for over twenty hours every day. Because it moves so little, it does not need much food. This POKéMON’s sole daily meal consists of just three leaves.",3
288,Vigoroth,Normal,None,80,80,80,55,55,90,Speed,90,2,White,14,465,VIGOROTH is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This POKéMON’s stress level rises if it can’t be moving constantly.,3
289,Slaking,Normal,None,150,160,100,95,65,100,Attack,160,3,Brown,20,1305,"SLAKING spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this POKéMON reluctantly moves to another spot.",3
290,Nincada,Bug,Ground,31,45,90,30,30,40,Defense,90,1,Gray,5,55,NINCADA lives underground for many years in complete darkness. This POKéMON absorbs nutrients from the roots of trees. It stays motionless as it waits for evolution.,3
291,Ninjask,Bug,Flying,61,90,45,50,50,160,Speed,160,2,Yellow,8,120,"NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this POKéMON was long believed to be invisible.",3
292,Shedinja,Bug,Ghost,1,90,45,30,30,40,Attack,90,2,Brown,8,12,"SHEDINJA’s hard body doesn’t move - not even a twitch. In fact, its body appears to be merely a hollow shell. It is believed that this POKéMON will steal the spirit of anyone peering into its hollow body from its back.",3
293,Whismur,Normal,None,64,51,23,51,23,28,Hp,64,1,Pink,6,163,"Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention. However, if this POKéMON senses danger, it starts crying at an earsplitting volume.",3
294,Loudred,Normal,None,84,71,43,71,43,48,Hp,84,2,Blue,10,405,LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This POKéMON’s round ears serve as loudspeakers.,3
295,Exploud,Normal,None,104,91,63,91,73,68,Hp,104,3,Blue,15,840,"EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this POKéMON violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow.",3
296,Makuhita,Fighting,None,72,60,30,20,30,25,Hp,72,1,Yellow,10,864,"MAKUHITA is tenacious - it will keep getting up and attacking its foe however many times it is knocked down. Every time it gets back up, this POKéMON stores more energy in its body for evolving.",3
297,Hariyama,Fighting,None,144,120,60,40,60,50,Hp,144,2,Brown,23,2538,"HARIYAMA practices its straight-arm slaps in any number of locations. One hit of this POKéMON’s powerful, openhanded, straight-arm punches could snap a telephone pole in two.",3
298,Azurill,Normal,Fairy,50,20,40,20,40,20,Hp,50,1,Blue,2,20,"AZURILL spins its tail as if it were a lasso, then hurls it far. The momentum of the throw sends its body flying, too. Using this unique action, one of these POKéMON managed to hurl itself a record 33 feet.",3
299,Nosepass,Rock,None,30,45,135,45,90,30,Defense,135,1,Gray,10,970,"NOSEPASS’s magnetic nose is always pointed to the north. If two of these POKéMON meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another.",3
300,Skitty,Normal,None,50,45,45,35,35,50,Hp,50,1,Pink,6,110,SKITTY has the habit of becoming fascinated by moving objects and chasing them around. This POKéMON is known to chase after its own tail and become dizzy.,3
301,Delcatty,Normal,None,70,65,65,55,55,90,Speed,90,2,Purple,11,326,"DELCATTY prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this POKéMON eats and sleeps whenever it decides, its daily routines are completely random.",3
302,Sableye,Dark,Ghost,50,75,75,65,65,50,Attack,75,1,Purple,5,110,"SABLEYE lead quiet lives deep inside caverns. They are feared, however, because these POKéMON are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness.",3
303,Mawile,Steel,Fairy,50,85,85,55,55,50,Attack,85,1,Black,6,115,"MAWHILE’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, MAWHILE chomps it with its gaping jaws.",3
304,Aron,Steel,Rock,50,70,100,40,40,30,Defense,100,1,Gray,4,600,"This POKéMON has a body of steel. To make its body, ARON feeds on iron ore that it digs from mountains. Occasionally, it causes major trouble by eating bridges and rails.",3
305,Lairon,Steel,Rock,60,90,140,50,50,40,Defense,140,2,Gray,9,1200,LAIRON tempers its steel body by drinking highly nutritious mineral springwater until it is bloated. This POKéMON makes its nest close to springs of delicious water.,3
306,Aggron,Steel,Rock,70,110,180,60,60,50,Defense,180,3,Gray,21,3600,AGGRON claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This POKéMON vigilantly patrols its territory at all times.,3
307,Meditite,Fighting,Psychic,30,40,55,40,55,60,Speed,60,1,Blue,6,112,"MEDITITE undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this POKéMON always loses its concentration and focus. As a result, its training never ends.",3
308,Medicham,Fighting,Psychic,60,60,75,60,75,80,Speed,80,2,Red,13,315,"It is said that through meditation, MEDICHAM heightens energy inside its body and sharpens its sixth sense. This POKéMON hides its presence by merging itself with fields and mountains.",3
309,Electrike,Electric,None,40,45,40,65,40,65,Special Attack,65,1,Green,6,152,ELECTRIKE stores electricity in its long body hair. This POKéMON stimulates its leg muscles with electric charges. These jolts of power give its legs explosive acceleration performance.,3
310,Manectric,Electric,None,70,75,60,105,60,105,Special Attack,105,2,Yellow,15,402,"MANECTRIC is constantly discharging electricity from its mane. The sparks sometimes ignite forest fires. When it enters a battle, this POKéMON creates thunderclouds.",3
311,Plusle,Electric,None,60,50,40,85,75,95,Speed,95,1,Yellow,4,42,"PLUSLE always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this POKéMON shorts out its body to create the crackling noises of sparks to show its joy.",3
312,Minun,Electric,None,60,40,50,75,85,95,Speed,95,1,Yellow,4,42,MINUN is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.,3
313,Volbeat,Bug,None,65,73,75,47,85,85,Special Defense,85,1,Gray,7,177,"With the arrival of night, VOLBEAT emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This POKéMON is attracted by the sweet aroma of ILLUMISE.",3
314,Illumise,Bug,None,65,47,75,73,85,85,Special Defense,85,1,Purple,6,177,"ILLUMISE attracts a swarm of VOLBEAT using a sweet fragrance. Once the VOLBEAT have gathered, this POKéMON leads the lit-up swarm in drawing geometric designs on the canvas of the night sky.",3
315,Roselia,Grass,Poison,50,60,45,100,80,65,Special Attack,100,2,Green,3,20,ROSELIA shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms. The aroma of this POKéMON brings serenity to living things.,3
316,Gulpin,Poison,None,70,43,53,43,53,40,Hp,70,1,Green,4,103,"It has a small heart and brain. Its stomach comprises most of its body, with enzymes to dissolve anything.",3
317,Swalot,Poison,None,100,73,83,73,83,55,Hp,100,2,Purple,17,800,"When SWALOT spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this POKéMON gulps it down whole with its cavernous mouth.",3
318,Carvanha,Water,Dark,45,90,20,65,20,65,Attack,90,1,Red,8,208,CARVANHA’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this POKéMON.,3
319,Sharpedo,Water,Dark,70,120,40,95,40,95,Attack,120,2,Blue,18,888,"Nicknamed “the bully of the sea,” SHARPEDO is widely feared. Its cruel fangs grow back immediately if they snap off. Just one of these POKéMON can thoroughly tear apart a supertanker.",3
320,Wailmer,Water,None,130,70,35,70,35,60,Hp,130,1,Blue,20,1300,WAILMER’s nostrils are located above its eyes. This playful POKéMON loves to startle people by forcefully snorting out seawater it stores inside its body out of its nostrils.,3
321,Wailord,Water,None,170,90,45,90,45,60,Hp,170,2,Blue,145,3980,"WAILORD is the largest of all identified POKéMON up to now. This giant POKéMON swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth.",3
322,Numel,Fire,Ground,60,60,40,65,45,35,Special Attack,65,1,Yellow,7,240,"NUMEL is extremely dull witted - it doesn’t notice being hit. However, it can’t stand hunger for even a second. This POKéMON’s body is a seething cauldron of boiling magma.",3
323,Camerupt,Fire,Ground,70,100,70,105,75,40,Special Attack,105,2,Red,19,2200,"CAMERUPT has a volcano inside its body. Magma of 18,000 degrees F courses through its body. Occasionally, the humps on this POKéMON’s back erupt, spewing the superheated magma.",3
324,Torkoal,Fire,None,70,85,140,85,70,20,Defense,140,1,Brown,5,804,"TORKOAL digs through mountains in search of coal. If it finds some, it fills hollow spaces on its shell with the coal and burns it. If it is attacked, this POKéMON spouts thick black smoke to beat a retreat.",3
325,Spoink,Psychic,None,60,25,35,70,80,60,Special Defense,80,1,Black,7,306,"SPOINK bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this POKéMON cannot afford to stop bouncing - if it stops, its heart will stop.",3
326,Grumpig,Psychic,None,80,45,65,90,110,80,Special Defense,110,2,Purple,9,715,"GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this POKéMON uses its special power, its snorting breath grows labored.",3
327,Spinda,Normal,None,60,60,60,60,60,60,Hp,60,1,Brown,11,50,"All the SPINDA that exist in the world are said to have utterly unique spot patterns. The shaky, tottering steps of this POKéMON give it the appearance of dancing.",3
328,Trapinch,Ground,None,45,100,45,45,45,10,Attack,100,1,Brown,7,150,"TRAPINCH’s nest is a sloped, bowl-like pit dug in sand. This POKéMON patiently waits for prey to tumble down the pit. Its giant jaws have enough strength to crush even boulders.",3
329,Vibrava,Ground,Dragon,50,70,50,50,50,70,Attack,70,2,Green,11,153,"To make prey faint, VIBRAVA generates ultrasonic waves by vigorously making its two wings vibrate. This POKéMON’s ultrasonic waves are so powerful, they can bring on headaches in people.",3
330,Flygon,Ground,Dragon,80,100,80,80,80,100,Attack,100,3,Green,20,820,"FLYGON is nicknamed “the elemental spirit of the desert.” Because its flapping wings whip up a cloud of sand, this POKéMON is always enveloped in a sandstorm while flying.",3
331,Cacnea,Grass,None,50,85,40,85,40,35,Attack,85,1,Green,4,513,"CACNEA lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this POKéMON shoots sharp thorns from its body to bring the victim down.",3
332,Cacturne,Grass,Dark,70,115,60,115,60,55,Attack,115,2,Green,13,774,"During the daytime, CACTURNE remains unmoving so that it does not lose any moisture to the harsh desert sun. This POKéMON becomes active at night when the temperature drops.",3
333,Swablu,Normal,Flying,45,40,60,40,75,50,Special Defense,75,1,Blue,4,12,SWABLU has light and fluffy wings that are like cottony clouds. This POKéMON is not frightened of people. It lands on the heads of people and sits there like a cotton-fluff hat.,3
334,Altaria,Dragon,Flying,75,70,90,70,105,80,Special Defense,105,2,Blue,11,206,"ALTARIA dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clear voice, this POKéMON makes its listeners experience dreamy wonderment.",3
335,Zangoose,Normal,None,73,115,60,60,60,90,Attack,115,1,White,13,403,It has feuded with Seviper for many generations. Its sharp claws are its biggest weapons.,3
336,Seviper,Poison,None,73,100,60,100,60,65,Attack,100,1,Black,27,525,SEVIPER shares a generations-long feud with ZANGOOSE. The scars on its body are evidence of vicious battles. This POKéMON attacks using its sword- edged tail.,3
337,Lunatone,Rock,Psychic,90,55,65,95,85,70,Special Attack,95,1,Yellow,10,1680,"LUNATONE was discovered at a location where a meteorite fell. As a result, some people theorize that this POKéMON came from space. However, no one has been able to prove this theory so far.",3
338,Solrock,Rock,Psychic,90,95,85,55,65,70,Attack,95,1,Red,12,1540,"SOLROCK is a new species of POKéMON that is said to have fallen from space. It floats in air and moves silently. In battle, this POKéMON releases intensely bright light.",3
339,Barboach,Water,Ground,50,48,43,46,41,60,Speed,60,1,Gray,4,19,"BARBOACH’s sensitive whiskers serve as a superb radar system. This POKéMON hides in mud, leaving only its two whiskers exposed while it waits for prey to come along.",3
340,Whiscash,Water,Ground,110,78,73,76,71,60,Hp,110,2,Blue,9,236,"WHISCASH is extremely territorial. Just one of these POKéMON will claim a large pond as its exclusive territory. If a foe approaches it, it thrashes about and triggers a massive earthquake.",3
341,Corphish,Water,None,43,80,65,50,35,35,Attack,80,1,Red,6,115,CORPHISH were originally foreign POKéMON that were imported as pets. They eventually turned up in the wild. This POKéMON is very hardy and has greatly increased its population.,3
342,Crawdaunt,Water,Dark,63,120,85,90,55,55,Attack,120,2,Red,11,328,"CRAWDAUNT has an extremely violent nature that compels it to challenge other living things to battle. Other life-forms refuse to live in ponds inhabited by this POKéMON, making them desolate places.",3
343,Baltoy,Ground,Psychic,40,40,55,40,70,55,Special Defense,70,1,Brown,5,215,BALTOY moves while spinning around on its one foot. Primitive wall paintings depicting this POKéMON living among people were discovered in some ancient ruins.,3
344,Claydol,Ground,Psychic,60,70,105,70,120,75,Special Defense,120,2,Black,15,1080,CLAYDOL are said to be dolls of mud made by primitive humans and brought to life by exposure to a mysterious ray. This POKéMON moves about while levitating.,3
345,Lileep,Rock,Grass,66,41,77,61,87,23,Special Defense,87,1,Purple,10,238,It lived on the seafloor 100 million years ago and was reanimated scientifically.,3
346,Cradily,Rock,Grass,86,81,97,81,107,43,Special Defense,107,2,Green,15,604,CRADILY roams around the ocean floor in search of food. This POKéMON freely extends its tree trunk-like neck and captures unwary prey using its eight tentacles.,3
347,Anorith,Rock,Bug,45,95,50,40,50,75,Attack,95,1,Gray,7,125,ANORITH was regenerated from a prehistoric fossil. This primitive POKéMON once lived in warm seas. It grips its prey firmly between its two large claws.,3
348,Armaldo,Rock,Bug,75,125,100,70,80,45,Attack,125,2,Gray,15,682,ARMALDO’s tough armor makes all attacks bounce off. This POKéMON’s two enormous claws can be freely extended or contracted. They have the power to punch right through a steel slab.,3
349,Feebas,Water,None,20,15,20,10,55,80,Speed,80,1,Brown,6,74,"FEEBAS’s fins are ragged and tattered from the start of its life. Because of its shoddy appearance, this POKéMON is largely ignored. It is capable of living in both the sea and in rivers.",3
350,Milotic,Water,None,95,60,79,100,125,81,Special Defense,125,2,Pink,62,1620,MILOTIC is breathtakingly beautiful. Those that see it are said to forget their combative spirits.,3
351,Castform,Normal,None,70,70,70,70,70,70,Hp,70,1,Gray,3,8,CASTFORM’s appearance changes with the weather. This POKéMON gained the ability to use the vast power of nature to protect its tiny body.,3
352,Kecleon,Normal,None,60,90,70,60,120,40,Special Defense,120,1,Green,10,220,KECLEON is capable of changing its body colors at will to blend in with its surroundings. There is one exception - this POKéMON can’t change the zigzag pattern on its belly.,3
353,Shuppet,Ghost,None,44,75,35,63,33,45,Attack,75,1,Black,6,23,"SHUPPET is attracted by feelings of jealousy and vindictiveness. If someone develops strong feelings of vengeance, this POKéMON will appear in a swarm and line up beneath the eaves of that person’s home.",3
354,Banette,Ghost,None,64,115,65,83,63,65,Attack,115,2,Black,11,125,A doll that became a Pokémon over its grudge from being junked. It seeks the child that disowned it.,3
355,Duskull,Ghost,None,20,40,90,30,90,25,Defense,90,1,Black,8,150,"DUSKULL can pass through any wall no matter how thick it may be. Once this POKéMON chooses a target, it will doggedly pursue the intended victim until the break of dawn.",3
356,Dusclops,Ghost,None,40,70,130,60,130,25,Defense,130,2,Black,16,306,"DUSCLOPS’s body is completely hollow - there is nothing at all inside. It is said that its body is like a black hole. This POKéMON will absorb anything into its body, but nothing will ever come back out.",3
357,Tropius,Grass,Flying,99,68,83,72,87,51,Hp,99,1,Green,20,1000,It lives in tropical jungles. The bunch of fruit around its neck is delicious. The fruit grows twice a year.,3
358,Chimecho,Psychic,None,75,50,80,95,90,65,Special Attack,95,2,Blue,6,10,"CHIMECHO makes its cries echo inside its hollow body. When this POKéMON becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying.",3
359,Absol,Dark,None,65,130,60,75,60,75,Attack,130,1,White,12,470,"Every time ABSOL appears before people, it is followed by a disaster such as an earthquake or a tidal wave. As a result, it came to be known as the disaster POKéMON.",3
360,Wynaut,Psychic,None,95,23,48,23,48,23,Hp,95,1,Blue,6,140,"WYNAUT can always be seen with a big, happy smile on its face. Look at its tail to determine if it is angry. When angered, this POKéMON will be slapping the ground with its tail.",3
361,Snorunt,Ice,None,50,50,50,50,50,50,Hp,50,1,Gray,7,168,"SNORUNT live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this POKéMON steals away to live quietly among stalactites and stalagmites deep in caverns.",3
362,Glalie,Ice,None,80,80,80,80,80,80,Hp,80,2,Gray,15,2565,"GLALIE has a body made of rock, which it hardens with an armor of ice. This POKéMON has the ability to freeze moisture in the atmosphere into any shape it desires.",3
363,Spheal,Ice,Water,70,40,50,55,50,25,Hp,70,1,Blue,8,395,"SPHEAL is much faster rolling than walking to get around. When groups of this POKéMON eat, they all clap at once to show their pleasure. Because of this, their mealtimes are noisy.",3
364,Sealeo,Ice,Water,90,60,70,75,70,45,Hp,90,2,Blue,11,876,It has a very sensitive nose. It touches new things with its nose to examine them.,3
365,Walrein,Ice,Water,110,80,90,95,90,65,Hp,110,3,Blue,14,1506,WALREIN’s two massively developed tusks can totally shatter blocks of ice weighing ten tons with one blow. This POKéMON’s thick coat of blubber insulates it from subzero temperatures.,3
366,Clamperl,Water,None,35,64,85,74,55,32,Defense,85,1,Blue,4,525,CLAMPERL’s sturdy shell is not only good for protection - it is also used for clamping and catching prey. A fully grown CLAMPERL’s shell will be scored with nicks and scratches all over.,3
367,Huntail,Water,None,55,104,105,94,75,52,Defense,105,2,Blue,17,270,HUNTAIL’s presence went unnoticed by people for a long time because it lives at extreme depths in the sea. This POKéMON’s eyes can see clearly even in the murky dark depths of the ocean.,3
368,Gorebyss,Water,None,55,84,105,114,75,52,Special Attack,114,2,Pink,18,226,"GOREBYSS lives in the southern seas at extreme depths. Its body is built to withstand the enormous pressure of water at incredible depths. Because of this, this POKéMON’s body is unharmed by ordinary attacks.",3
369,Relicanth,Water,Rock,100,90,130,45,65,55,Defense,130,1,Gray,10,234,RELICANTH is a POKéMON species that existed for a hundred million years without ever changing its form. This ancient POKéMON feeds on microscopic organisms with its toothless mouth.,3
370,Luvdisc,Water,None,43,30,55,40,65,97,Speed,97,1,Pink,6,87,LUVDISC live in shallow seas in the tropics. This heart-shaped POKéMON earned its name by swimming after loving couples it spotted in the ocean’s waves.,3
371,Bagon,Dragon,None,45,75,60,40,30,50,Attack,75,1,Blue,6,421,"BAGON has a dream of one day soaring in the sky. In doomed efforts to fly, this POKéMON hurls itself off cliffs. As a result of its dives, its head has grown tough and as hard as tempered steel.",3
372,Shelgon,Dragon,None,65,95,100,60,50,50,Defense,100,2,White,11,1105,"Inside SHELGON’s armor-like shell, cells are in the midst of transformation to create an entirely new body. This POKéMON’s shell is extremely heavy, making its movements sluggish.",3
373,Salamence,Dragon,Flying,95,135,80,110,80,100,Attack,135,3,Blue,15,1026,"SALAMENCE came about as a result of a strong, long-held dream of growing wings. It is said that this powerful desire triggered a sudden mutation in this POKéMON’s cells, causing it to sprout its magnificent wings.",3
374,Beldum,Steel,Psychic,40,55,80,35,60,30,Defense,80,1,Blue,6,952,"It converses with others by using magnetic pulses. In a swarm, they move in perfect unison.",3
375,Metang,Steel,Psychic,60,75,100,55,80,50,Defense,100,2,Blue,12,2025,"When two BELDUM fuse together, METANG is formed. The brains of the BELDUM are joined by a magnetic nervous system. By linking its brains magnetically, this POKéMON generates strong psychokinetic power.",3
376,Metagross,Steel,Psychic,80,135,130,95,90,70,Attack,135,3,Blue,16,5500,"METAGROSS has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This POKéMON can float in the air by tucking in its four legs.",3
377,Regirock,Rock,None,80,100,200,50,100,50,Defense,200,1,Brown,17,2300,"REGIROCK was sealed away by people long ago. If this POKéMON’s body is damaged in battle, it is said to seek out suitable rocks on its own to repair itself.",3
378,Regice,Ice,None,80,50,100,100,200,50,Special Defense,200,1,Blue,18,1750,"REGICE’s body was made during an ice age. The deep-frozen body can’t be melted, even by fire. This POKéMON controls frigid air of minus 328 degrees F.",3
379,Registeel,Steel,None,80,75,150,75,150,50,Defense,150,1,Gray,19,2050,REGISTEEL has a body that is harder than any kind of metal. Its body is apparently hollow. No one has any idea what this POKéMON eats.,3
380,Latias,Dragon,Psychic,80,80,90,110,130,110,Special Defense,130,1,Red,14,400,"LATIAS is highly sensitive to the emotions of people. If it senses any hostility, this POKéMON ruffles the feathers all over its body and cries shrilly to intimidate the foe.",3
381,Latios,Dragon,Psychic,80,90,80,130,110,110,Special Attack,130,1,Blue,20,600,LATIOS has the ability to make its foe see an image of what it has seen or imagines in its head. This POKéMON is intelligent and understands human speech.,3
382,Kyogre,Water,None,100,100,90,150,140,90,Special Attack,150,1,Blue,45,3520,KYOGRE has the power to create massive rain clouds that cover the entire sky and bring about torrential downpours. This POKéMON saved people who were suffering from droughts.,3
383,Groudon,Ground,None,100,150,140,100,90,90,Attack,150,1,Red,35,9500,GROUDON has long been described in mythology as the POKéMON that raised lands and expanded continents. This POKéMON took to sleep after a cataclysmic battle with KYOGRE.,3
384,Rayquaza,Dragon,Flying,105,150,90,150,90,95,Attack,150,1,Green,70,2065,"RAYQUAZA lived for hundreds of millions of years in the earth’s ozone layer, never descending to the ground. This POKéMON appears to feed on water and particles in the atmosphere.",3
385,Jirachi,Steel,Psychic,100,100,100,100,100,100,Hp,100,1,Yellow,3,11,"A legend states that JIRACHI will make true any wish that is written on notes attached to its head when it awakens. If this POKéMON senses danger, it will fight without awakening.",3
386,Deoxys-Normal,Psychic,None,50,150,50,150,50,150,Attack,150,1,Red,17,608,The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in DEOXYS. The crystalline organ on this POKéMON’s chest appears to be its brain.,3
387,Turtwig,Grass,None,55,68,64,45,55,31,Attack,68,1,Green,4,102,"Made from soil, the shell on its back hardens when it drinks water. It lives along lakes.",4
388,Grotle,Grass,None,75,89,85,55,65,36,Attack,89,2,Green,11,970,A GROTLE that lives in the forest is said to have its own secret springwater.,4
389,Torterra,Grass,Ground,95,109,105,75,85,56,Attack,109,3,Green,22,3100,Some Pokémon are born on a Torterra’s back and spend their entire life there.,4
390,Chimchar,Fire,None,44,58,44,58,44,61,Speed,61,1,Brown,5,62,It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps.,4
391,Monferno,Fire,Fighting,64,78,52,78,52,81,Speed,81,2,Brown,9,220,"To intimidate attackers, it stretches the fire on its tail to make itself appear bigger.",4
392,Infernape,Fire,Fighting,76,104,71,104,71,108,Speed,108,3,Brown,12,550,It uses a special kind of martial arts involving all its limbs. Its fire never goes out.,4
393,Piplup,Water,None,53,51,53,61,56,40,Special Attack,61,1,Blue,4,52,"Because it is very proud, it hates accepting food from people. Its thick down guards it from cold.",4
394,Prinplup,Water,None,64,66,68,81,76,50,Special Attack,81,2,Blue,8,230,"It lives alone, away from others. Apparently, every one of them believes it is the most important.",4
395,Empoleon,Water,Steel,84,86,88,111,101,60,Special Attack,111,3,Blue,17,845,The three horns that extend from its beak attest to its power. The leader has the biggest horns.,4
396,Starly,Normal,Flying,40,55,30,30,30,60,Speed,60,1,Brown,3,20,"They flock in great numbers. Though small, they flap their wings with great power.",4
397,Staravia,Normal,Flying,55,75,50,40,40,80,Speed,80,2,Brown,6,155,It flies around forests and fields in search of bug Pokémon. It stays within a huge flock.,4
398,Staraptor,Normal,Flying,85,120,70,50,60,100,Attack,120,3,Brown,12,249,It has a savage nature. It will courageously challenge foes that are much larger.,4
399,Bidoof,Normal,None,59,45,40,35,40,31,Hp,59,1,Brown,5,200,A comparison revealed that Bidoof’s front teeth grow at the same rate as Rattata’s.,4
400,Bibarel,Normal,Water,79,85,60,55,60,71,Attack,85,2,Brown,10,315,It makes its nest by damming streams with bark and mud. It is known as an industrious worker.,4
401,Kricketot,Bug,None,37,25,41,25,41,25,Defense,41,1,Red,3,22,"It shakes its head back to front, causing its antennae to hit each other and sound like a xylophone.",4
402,Kricketune,Bug,None,77,85,51,55,51,65,Attack,85,2,Red,10,255,It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.,4
403,Shinx,Electric,None,45,65,34,40,34,45,Attack,65,1,Blue,5,95,All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.,4
404,Luxio,Electric,None,60,85,49,60,49,60,Attack,85,2,Blue,9,305,Its claws loose electricity with enough amperage to cause fainting. They live in small groups.,4
405,Luxray,Electric,None,80,120,79,95,79,70,Attack,120,3,Blue,14,420,It has eyes that can see through anything. It spots and captures prey hiding behind objects.,4
406,Budew,Grass,Poison,40,30,35,50,70,55,Special Defense,70,1,Green,2,12,"Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen.",4
407,Roserade,Grass,Poison,60,70,65,125,105,90,Special Attack,125,3,Green,9,145,"It attracts prey with a sweet aroma, then downs it with thorny whips hidden in its arms.",4
408,Cranidos,Rock,None,67,125,40,30,30,58,Attack,125,1,Blue,9,315,It lived in jungles around 100 million years ago. Its skull is as hard as iron.,4
409,Rampardos,Rock,None,97,165,60,65,50,58,Attack,165,2,Blue,16,1025,Its powerful head butt has enough power to shatter even the most durable things upon impact.,4
410,Shieldon,Rock,Steel,30,42,118,42,88,30,Defense,118,1,Gray,5,570,A Pokémon that lived in jungles around 100 million years ago. Its facial hide is extremely hard.,4
411,Bastiodon,Rock,Steel,60,52,168,47,138,30,Defense,168,2,Gray,13,1495,Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries.,4
412,Burmy,Bug,None,40,29,45,29,45,36,Defense,45,1,Green,2,34,"To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves.",4
413,Wormadam-Plant,Bug,Grass,60,59,85,79,105,36,Special Defense,105,2,Green,5,65,"When BURMY evolved, its cloak became a part of this Pokémon’s body. The cloak is never shed.",4
414,Mothim,Bug,Flying,70,94,50,94,50,66,Attack,94,2,Yellow,9,233,It loves the honey of flowers and steals honey collected by COMBEE.,4
415,Combee,Bug,Flying,30,30,42,30,42,70,Speed,70,1,Yellow,3,55,A Pokémon formed by three others. It busily carries sweet floral honey to VESPIQUEN.,4
416,Vespiquen,Bug,Flying,70,80,102,80,102,40,Defense,102,2,Yellow,12,385,Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by COMBEE.,4
417,Pachirisu,Electric,None,60,45,70,45,90,95,Speed,95,1,White,4,39,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.,4
418,Buizel,Water,None,55,65,35,60,30,85,Speed,85,1,Brown,7,295,It has a flotation sac that is like an inflatable collar. It floats on water with its head out.,4
